WigleWifi-1.4,appRelease=2.53,model=D1-Mini-Pro,release=0.0.0,device=NetDash,display=SSD1306,board=ESP8266,brand=Wemos
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
D8:38:FC:08:5C:88,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,7,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:5C:88,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,7,-85,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:88:60:28,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:C8:60:28,DWW-SFS,[WEP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:48:60:28,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:0A:2A:08,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:4A:2A:08,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:8A:2A:08,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:0A:2A:09,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,11,-88,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:4A:2A:09,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,11,-89,33.887693,-118.029543,27.5,90,WIFI
D8:38:FC:08:60:29,DWW-BC,[WEP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:29,1,-90,33.887693,-118.029543,27.5,90,WIFI
E0:CB:BC:91:97:63,Starbucks WiFi,[ESS],2023-3-5 2:25:36,1,-74,33.887706,-118.029570,27.5,90,WIFI
EE:CB:BC:91:97:63,sip,[ESS],2023-3-5 2:25:36,1,-74,33.887706,-118.029570,27.5,90,WIFI
00:80:AE:C0:83:81,hug2g843283,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-78,33.887706,-118.029570,27.5,90,WIFI
B0:39:56:A7:00:DD,Frontier8212,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-92,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:08:60:28,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-90,33.887706,-118.029570,27.5,90,WIFI
E6:CB:BC:91:97:63,smll,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-73,33.887706,-118.029570,27.5,90,WIFI
EA:CB:BC:91:97:63,notes,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-74,33.887706,-118.029570,27.5,90,WIFI
E8:48:B8:10:DC:34,TP-Link_DC34,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,2,-88,33.887706,-118.029570,27.5,90,WIFI
C0:EA:E4:17:D0:CB,sonicwall-D0CB,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,2,-93,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:48:60:29,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-90,33.887706,-118.029570,27.5,90,WIFI
4C:AB:F8:0C:DF:7A,Verizon_9KFYY4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,1,-92,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:08:5C:F8,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,4,-87,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:48:5C:F8,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,4,-89,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:88:5C:F8,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,4,-88,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:C8:5C:F8,DWW-SFS,[WEP][ESS],2023-3-5 2:25:36,4,-88,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:08:5C:F9,DWW-BC,[WEP][ESS],2023-3-5 2:25:36,4,-87,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:48:5C:F9,DWW-Guest-Wifi,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,4,-87,33.887706,-118.029570,27.5,90,WIFI
00:30:44:62:91:D7,KIMSBY HOUSE 2G,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,6,-87,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:0A:7E:98,DWW-2.4,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,7,-86,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:4A:7E:98,DWW-BC2,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,7,-81,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:8A:7E:98,DWW-SDI,[WPA2-PSK-CCMP+TKIP][ESS],2023-3-5 2:25:36,7,-87,33.887706,-118.029570,27.5,90,WIFI
D8:38:FC:CA:7E:98,DWW-SFS,[WEP][ESS],2023-3-5 2:25:36,7,-86,33.887706,-118.029570,27.5,90,WIFI
